Run,Tokens,,,,,Pylint score,SonarQube,,,,,,,,,,,
,Input tokens,Output tokens,Cache read tokens,Cache create tokens,Tokens summary,,Security,,,,Reliability,,,,Maintainability,,,
,,,,,,,Low,Medium,High,Summary,Low,Medium,High,Summary,Low,Medium,High,Summary
run-27-04-2026-Copilot-REQ1-Claude-1,,,,,,9.14,0,0,0,0,0,0,0,0,1,3,0,
run-27-04-2026-Copilot-REQ1-Claude-2,,,,,,9.42,0,0,0,0,,,,,,,,
run-27-04-2026-Copilot-REQ1-Claude-3,,,,,,8.81,0,0,0,0,,,,,,,,
run-27-04-2026-Copilot-REQ2-Claude-1,21,18778,591429,22153,632381,9.37,0,0,0,0,0,0,0,0,0,2,0,
run-27-04-2026-Copilot-REQ2-Claude-2,26,21083,842036,24533,887678,9.32,0,0,0,0,0,0,0,0,0,0,0,
run-27-04-2026-Copilot-REQ2-Claude-3,16,32692,576224,38529,647461,9.90,0,0,0,0,0,0,0,0,0,1,0,
run-28-04-2026-Copilot-REQ4-Claude-1,23,40075,1100987,57244,1198329,9.40,0,0,0,0,0,0,0,0,0,0,1,
run-28-04-2026-Copilot-REQ4-Claude-2,32,35997,1410916,66866,1513811,9.29,0,0,0,0,0,0,0,0,2,0,1,
run-27-04-2026-Copilot-REQ4-Claude-3,27,41249,1400626,53790,1495692,8.29,0,0,0,0,0,2,0,0,0,1,0,
