Run,Tokens,,,,,Pylint score,SonarQube,,,,,,,,,,,
,Input tokens,Output tokens,Cache read tokens,Cache create tokens,Tokens summary,,Security,,,,Reliability,,,,Maintainability,,,
,,,,,,,Low,Medium,High,Summary,Low,Medium,High,Summary,Low,Medium,High,Summary
Copilot-REQ1-Claude-1,,,,,,9.14,0,0,0,0,0,0,0,0,1,3,0,
Copilot-REQ1-Claude-2,,,,,,9.42,0,0,0,0,,,,,,,,
Copilot-REQ1-Claude-3,,,,,,8.81,0,0,0,0,,,,,,,,
Copilot-REQ2-Claude-1,21,18778,591429,22153,632381,9.37,0,0,0,0,0,0,0,0,0,2,0,
Copilot-REQ2-Claude-2,26,21083,842036,24533,887678,9.32,0,0,0,0,0,0,0,0,0,0,0,
Copilot-REQ2-Claude-3,16,32692,576224,38529,647461,9.90,0,0,0,0,0,0,0,0,0,1,0,
Copilot-REQ4-Claude-1,23,40075,1100987,57244,1198329,9.40,0,0,0,0,0,0,0,0,0,0,1,
Copilot-REQ4-Claude-2,32,35997,1410916,66866,1513811,9.29,0,0,0,0,0,0,0,0,2,0,1,
Copilot-REQ4-Claude-3,27,41249,1400626,53790,1495692,8.29,0,0,0,0,0,2,0,0,0,1,0,
Copilot-REQ1-Gemini-2,67319,2373,40159,0,109851,,0,0,0,0,0,0,0,0,2,0,4,6
Copilot-REQ1-Gemini-3,498860,18326,449567,0,966753,7.86,0,0,0,0,0,0,0,0,9,0,1,10
Copilot-REQ2-Gemini-1,1859131,11240,0,0,1870371,9.80,0,0,0,0,0,0,0,0,1,0,1,2
Copilot-REQ2-Gemini-2,72907,6291,0,0,79198,ERROR,0,0,0,0,0,0,0,0,0,0,0,0
Copilot-REQ2-Gemini-3,189333,4993,22408,0,216734,ERROR,0,0,0,0,0,0,0,0,0,0,0,0
Copilot-REQ2-Gemini-4,599919,8805,494591,0,1103315,7.18,0,0,0,0,0,0,0,0,1,0,1,2
Copilot-REQ4-Gemini-1,137346,5923,78944,0,222213,,0,0,0,0,0,0,0,0,0,0,0,0
Copilot-REQ4-Gemini-2,124167,11112,34493,0,169772,7.59,0,0,0,0,0,0,0,0,1,1,2,4
Copilot-REQ4-Gemini-3,1164967,21983,943492,0,2130442,,0,0,0,0,0,0,0,0,0,0,0,0
