Run,ScenarioA,ScenarioB,ScenarioC,Total failures
FleetRouter-REQ1-Claude-Haiku-1,4,9,6,19
FleetRouter-REQ1-Claude-Haiku-2,0,1,1,2
FleetRouter-REQ1-Claude-Haiku-3,1,1,0,2
FleetRouter-REQ1-Claude-Haiku-4,0,1,0,1
FleetRouter-REQ1-Claude-Haiku-5,0,1,0,1
FleetRouter-REQ1-Claude-Sonnet-1,0,1,0,1
FleetRouter-REQ1-Claude-Sonnet-2,0,2,0,2
FleetRouter-REQ1-Claude-Sonnet-3,0,2,0,2
FleetRouter-REQ1-Gemini-Flash-1,4,10,7,21
FleetRouter-REQ1-Gemini-Flash-2,4,10,7,21
FleetRouter-REQ1-Gemini-Flash-3,4,10,7,21
FleetRouter-REQ1-Gemini-Flash-4,4,10,7,21
FleetRouter-REQ1-Gemini-Flash-5,NaN,NaN,NaN,NaN
FleetRouter-REQ2-Claude-Haiku-1,0,2,0,2
FleetRouter-REQ2-Claude-Haiku-2,0,2,0,2
FleetRouter-REQ2-Claude-Haiku-3,4,10,7,21
FleetRouter-REQ2-Claude-Haiku-4,0,3,1,4
FleetRouter-REQ2-Claude-Haiku-5,0,2,0,2
FleetRouter-REQ2-Claude-Sonnet-1,0,2,0,2
FleetRouter-REQ2-Claude-Sonnet-2,0,1,0,1
FleetRouter-REQ2-Claude-Sonnet-3,0,2,0,2
FleetRouter-REQ2-Gemini-Flash-1,NaN,NaN,NaN,NaN
FleetRouter-REQ2-Gemini-Flash-2,NaN,NaN,NaN,NaN
FleetRouter-REQ2-Gemini-Flash-3,NaN,NaN,NaN,NaN
FleetRouter-REQ2-Gemini-Flash-4,NaN,NaN,NaN,NaN
FleetRouter-REQ2-Gemini-Flash-5,NaN,NaN,NaN,NaN
FleetRouter-REQ3-Claude-Sonnet-1,0,1,2,3
FleetRouter-REQ3-Claude-Sonnet-2,0,2,2,4
FleetRouter-REQ3-Claude-Sonnet-3,0,1,2,3
FleetRouter-REQ3-Claude-Haiku-1,0,1,1,2
FleetRouter-REQ3-Claude-Haiku-2,0,1,0,1
FleetRouter-REQ3-Claude-Haiku-3,0,3,2,5
FleetRouter-REQ3-Claude-Haiku-4,1,1,0,2
FleetRouter-REQ3-Claude-Haiku-5,0,2,0,2
FleetRouter-REQ3-Gemini-Flash-1,NaN,NaN,NaN,NaN
FleetRouter-REQ3-Gemini-Flash-2,4,10,7,21
FleetRouter-REQ3-Gemini-Flash-3,3,4,1,8
FleetRouter-REQ3-Gemini-Flash-4,0,2,0,2
FleetRouter-REQ3-Gemini-Flash-5,NaN,NaN,NaN,NaN
FleetRouter-REQ4-Claude-Haiku-1,4,10,7,21
FleetRouter-REQ4-Claude-Haiku-2,4,10,7,21
FleetRouter-REQ4-Claude-Haiku-3,4,10,7,21
FleetRouter-REQ4-Claude-Haiku-4,4,10,7,21
FleetRouter-REQ4-Claude-Haiku-5,0,3,4,7
FleetRouter-REQ4-Claude-Sonnet-1,4,10,7,21
FleetRouter-REQ4-Claude-Sonnet-2,1,3,2,6
FleetRouter-REQ4-Claude-Sonnet-3,4,10,7,21
FleetRouter-REQ4-Gemini-Flash-1,NaN,NaN,NaN,NaN
FleetRouter-REQ4-Gemini-Flash-2,NaN,NaN,NaN,NaN
FleetRouter-REQ4-Gemini-Flash-3,NaN,NaN,NaN,NaN
FleetRouter-REQ4-Gemini-Flash-4,4,10,7,21
FleetRouter-REQ4-Gemini-Flash-5,NaN,NaN,NaN,NaN




