Wykonanie, MozliwoscRejsetracji, MozliwoscZalogowania, ZgodnosczMakieta1, WalidacjaDanych, Wylogowywanie, MoznaStworzyc1, EdycjaSiatki, EdycjaCen1, Formularz1, MoznaStworzyc2, BrakSiatki, PodzialnaPule, EdycjaCen2, Formularz2, ZgodnoscWidokow, ZgodnosczMakieta2, PodsumowanieLiczbowe, AktualizacjaUtworzonych, MoznaZarezerwowac1, WyborzSiatki, BlokadaNieprzyleglych, MoznaZarezerwowac2, WyborKatgorii, ZgodnosczMakietami, Znizki, Max2oczekujace, Zegar15minut, AnulowanieRezerwacji, OcenaIntuicyjnosci, OcenaBledow, Suma
REQ1-1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 2, 3, 26
REQ1-2, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 22
REQ1-3, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 15
REQ1-4, 1, 1, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 3, 2, 26
REQ1-5, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 19
REQ2-1, 1, 1, 1, 0, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 3, 2, 36
REQ2-2, 1, 1, 1, 0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 2, 2, 29
REQ2-3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 2, 28
REQ2-4, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 25
REQ2-5, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 24
REQ3-1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 22
REQ3-2, 1, 1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 0, 1, 2, 2, 28
REQ3-3, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 2, 25
REQ3-4, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 2, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 27
REQ3-5, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 3, 2, 32
REQ4-1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 2, 22
REQ4-2, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 3, 2, 27
REQ4-3, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 2, 23
REQ4-4, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 2, 2, 1, 1, 2, 3, 32
REQ4-5, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 3, 3, 31
