Run,Tokens,,,,,Pylint score,SonarQube,,,,,,,,,,,
,Input tokens,Output tokens,Cache read tokens,Cache create tokens,Tokens summary,,Security,,,,Reliability,,,,Maintainability,,,
,,,,,,,Low,Medium,High,Summary,Low,Medium,High,Summary,Low,Medium,High,Summary
SeatsReservation-REQ1-Claude-Haiku-1,210,28712,1319633,34880,1383435,8.10,0,0,1,1,0,1,0,1,11,21,5,37
SeatsReservation-REQ1-Claude-Haiku-2,306,30759,1830264,37380,1898709,NaN,0,0,1,1,0,1,0,1,11,21,5,37
SeatsReservation-REQ1-Claude-Haiku-3,186,26781,1065268,33709,1125944,7.81,0,1,0,1,1,2,3,6,541,567,156,1264
SeatsReservation-REQ1-Claude-Haiku-4,178,26594,945489,33060,1005321,7.81,0,1,2,3,1,2,3,6,544,558,161,1263
SeatsReservation-REQ1-Claude-Sonnet-1,19,10876,492752,19555,523202,8.79,0,0,0,0,0,3,2,5,49,153,165,367
SeatsReservation-REQ1-Claude-Haiku-5,410,33805,2705540,45109,2784864,NaN,0,0,2,2,0,0,0,0,17,13,0,30
SeatsReservation-REQ1-Claude-Sonnet-2,26,36824,1013181,44208,1094239,8.50,0,2,1,3,11,15,12,38,675,823,760,2258
SeatsReservation-REQ1-Claude-Sonnet-3,56,39630,2589258,53561,2682505,8.43,0,0,2,2,0,0,0,0,21,32,9,62
SeatsReservation-REQ1-Gemini-Flash-1,114203,1998,39911,0,156112,4.86,0,0,0,0,0,0,0,0,0,1,0,1
SeatsReservation-REQ1-Gemini-Flash-2,9472320,65984,7628773,0,17167077,7.02,0,0,0,0,0,8,0,8,14,10,12,36
SeatsReservation-REQ1-Gemini-Flash-3,1440041,18966,1300786,0,2759793,4.23,0,0,0,0,0,0,0,0,0,0,0,0
SeatsReservation-REQ2-Claude-Haiku-1,138,26531,850786,37482,914937,7.81,0,1,4,5,2,0,0,2,4,34,18,56
SeatsReservation-REQ2-Claude-Haiku-2,522,54103,4383488,102210,4540323,8.12,0,0,0,0,0,0,0,0,0,0,0,0
SeatsReservation-REQ2-Claude-Haiku-3,290,32794,1886409,75832,1995325,,0,0,0,0,0,0,0,0,0,0,0,0
SeatsReservation-REQ2-Claude-Haiku-4,538,40506,4511959,59039,4612042,7.81,0,0,2,2,0,1,0,1,28,64,2,94
